                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4192,                 1.0415,                 1.1227,                0.95219,                0.48058,                0.58117,                0.35834,                 1.2795,                0.74451,                 1.0248,             5.2846e-05,             5.2846e-05,             5.2846e-05
                     34,                 1.4789,                 1.0005,                 1.1356,                0.95219,                0.48058,                0.58117,                0.35834,                 1.2795,                0.74451,                 1.0248,             5.3682e-05,             5.3682e-05,             5.3682e-05
                     35,                 1.5264,                 1.0106,                 1.1719,                0.96236,                0.49542,                0.58475,                0.36238,                 1.2772,                0.73198,                 1.0236,             5.4472e-05,             5.4472e-05,             5.4472e-05
                     36,                 1.4531,                0.96597,                 1.1281,                0.96242,                 0.4947,                0.58801,                0.36267,                 1.2759,                0.72549,                 1.0219,             5.5214e-05,             5.5214e-05,             5.5214e-05
                     37,                 1.5331,                0.99518,                 1.1612,                0.96242,                 0.4947,                0.58801,                0.36267,                 1.2759,                0.72549,                 1.0219,              5.591e-05,              5.591e-05,              5.591e-05
                     38,                  1.497,                 1.0305,                 1.1193,                0.96228,                0.49193,                0.59396,                0.36479,                 1.2782,                0.72055,                 1.0205,             5.6558e-05,             5.6558e-05,             5.6558e-05
                     39,                 1.4774,                 1.0669,                 1.1083,                0.96191,                0.49106,                0.59522,                0.36832,                 1.2849,                 0.7119,                   1.02,             5.7159e-05,             5.7159e-05,             5.7159e-05
                     40,                 1.5205,                 1.0226,                 1.0976,                0.96191,                0.49106,                0.59522,                0.36832,                 1.2849,                 0.7119,                   1.02,             5.7713e-05,             5.7713e-05,             5.7713e-05
                     41,                  1.475,                0.98094,                 1.1467,                  0.952,                0.49211,                0.59451,                0.36845,                  1.291,                0.70907,                 1.0235,              5.822e-05,              5.822e-05,              5.822e-05
                     42,                 1.4145,                0.98306,                 1.0978,                0.95583,                0.49044,                0.59862,                0.37222,                 1.2934,                0.71127,                 1.0247,             5.8679e-05,             5.8679e-05,             5.8679e-05
